cluster,used_hashtags
cluster 1,"['graz', 'bestes', 'bts', 'team', 'snow', 'grow', 'best', 'meat', 'benq', 'bar', 'boss', 'xeen', 'tee', 'em', 'break', 'crazy', 'Graz', 'great', 'dream', 'brot']"
cluster 2,"['summer', 'sumpf', 'yummy', 'sun', 'sunset', 'sunday', 'sommer', 'hunger', 'soccer', 'pumps', 'yummi', 'funny', 'tea', 'tbt', 'singer', 'burger', 'sunny', 'curry', 'kumberg']"
cluster 3,"['igergraz', 'igersgraz', 'igerslinz', 'cidergram', 'igerswien']"
cluster 4,"['wetter', 'nature', 'cats', 'uae', 'game', 'natur', 'skate', 'mate', 'future', 'meat', 'atp', 'vote', 'tarte', 'water', 'lake', 'mode', 'dose', 'winter', 'singer', 'taste', 'ingwer']"
cluster 5,"['setup', 'startup', 'sun', 'stadt', 'art', 'startups', 'wald', 'öbb', 'gala', 'benq', 'dp', 'tarte', 'a7s', 'xeen', 'cine', 'em', 'TOP', 'cpu', 'cgi', 'vfx', 'c4d']"
cluster 6,"['win', 'mut', 'jan', 'sea', 'sunny', 'gin', 'fun', 'uk', 'brot', 'hund', 'sun', 'see', 'soon', 'funny', 'art']"
cluster 7,"['ligt', 'sumpf', 'sushi', 'dubai', 'yoga', 'yummy', 'cool', 'dell', 'gala', 'dusk', 'ikea', 'boss', 'cine', 'yummi', 'usa', 'cpu', 'cgi', 'sunny', 'ship', 'c4d']"
cluster 8,"['zeit', 'jp', 'fair', 'uae', 'bf', 'holiday', 'holidays', 'bier', 'see', 'sunday', 'win', 'sundown', 'red', 'moon', 'funny', 'monday', 'friday', 'uk', 'sunnydays', 'hund', 'town']"
cluster 9,"['win', 'women', 'view', 'linz', 'wow', 'vino', 'jan', 'bio', 'xeen', 'cine', 'wine', 'bier', 'gin', 'diy', 'wein', 'wien', 'eis', 'rain']"
cluster 10,"['Gewinnspiel', 'gewinnspiel']"
cluster 11,"['bestfood', 'seafood', 'italianfood', 'ınstagood', 'asianfood', 'instafood', 'superfood', 'grazfood', 'soulfood', 'drinkstagram', 'instagram', 'instagood']"
cluster 12,"['food', 'pool', 'wood', 'moon', 'foto', 'ootd', 'mode', 'foodie', 'soon', 'cool', 'meow', 'cold', 'mood']"
cluster 13,"['essen', 'friends', 'wien', 'linz', 'freude', 'drinks', 'kids', 'nye', 'diy', 'wood', 'water', 'like', 'tee', 'ocean', 'feiern', 'wow', 'green', 'friendship', 'drink', 'ferien', 'new']"
cluster 14,"['team', 'insta', 'icetea', 'nye', 'bio', 'icedtea', 'matetea', 'ootd', 'mate', 'diy', 'tb', 'ikea', 'cat', 'bar', 'milktea', 'gin', 'icecream', 'tea', 'mut', 'new', 'cute']"
cluster 15,"['foodblog', 'foodlovers', 'foodblogger', 'foodlover']"
cluster 16,"['österreich', 'Österreich']"
