community_clusters,hashtags_of_community_clusters,score_of_community_clusters,silhouette_score_of_community_cluster,score_multiplied
community cluster 2728,"['visitgraz', 'wien', 'styria', 'vienna', 'ostern', 'stadtgraz', 'austria', 'visitaustria']",65,0.207547169811321,13.4905660377359
community cluster 1970,"['wine', 'ginger', 'fresh', 'vienna', 'win', 'bio', 'giveaway']",50.625,0.172043010752688,8.70967741935484
community cluster 469,"['like', 'bbq', 'travel', 'love', 'bar', 'drink', 'protein', 'art']",64,0.112244897959184,7.18367346938775
community cluster 2718,"['family', 'familie', 'tasty', 'sonne', 'frühling', 'kids']",41.25,0.152631578947369,6.29605263157895
community cluster 1045,"['pflanzlich', 'organic', 'summervibes', 'hanf', 'wein', 'plantbased', 'veganfood']",52.875,0.111111111111111,5.875
community cluster 724,"['lebensfreude', 'herzensfreude', 'freude', 'wahrheitleben', 'liebe', 'bewusstsein']",22.5,0.208695652173913,4.69565217391305
community cluster 760,"['stoppsexuellebelästigung', 'frauenfürfrauen', 'stoppgewaltgegenfrauen', 'strongwomenlifteachotherup', 'steiermark', 'sexuellebelästigung', 'gewaltgegenfrauen', 'catcallsofgraz']",24,0.187919463087248,4.51006711409396
community cluster 437,"['cocktail', 'bbq', 'love', 'cocktailbar', 'cocktails', 'bar', 'handmade', 'fruits']",49,0.090909090909091,4.45454545454545
community cluster 2126,"['hausberg', 'wandern', 'sunday', 'steiermark', 'couple', 'ostern', 'igersgraz', 'frühling']",73,0.06,4.38
community cluster 2679,"['genießen', 'lecker', 'veggie', 'frisch', 'feiern', 'food', 'igersgraz', 'regional']",63,0.063829787234043,4.02127659574468
community cluster 441,"['japan', 'party', 'cake', 'icetea', 'food', 'yummy']",60,0.066666666666667,4.00000000000001
community cluster 48,"['explore', 'sunshine', 'happyplace', 'love', 'sunset', 'happyme', 'greece']",59.625,0.066666666666667,3.975
community cluster 2245,"['shadows', 'styria', 'haidi', 'shadow', 'collaboration', 'berries']",32.5,0.117391304347826,3.81521739130435
community cluster 758,"['blogger_at', 'blogger', 'igersvienna', 'steiermark', 'graz', 'winelover']",38.75,0.091228070175439,3.53508771929824
community cluster 770,"['dubistgutsowiedubist', 'elanorroosevelt', 'selbstundständig', 'steiermark', 'unternehmerinnen', 'bosslady', 'igerswien', 'trustyourgut']",26,0.105691056910569,2.7479674796748
community cluster 2296,"['popmusic', 'music', 'singer', 'vocalist', 'newmusic', 'vienna', 'pop', 'hannakristall']",34,0.08,2.72
community cluster 1115,"['zeitunglesen', 'weihnachten', 'gewinnspiel', 'lecker', 'österreich', 'tasty', 'party', 'holidays']",63,0.042253521126761,2.66197183098592
community cluster 1437,"['photooftheday', 'styria', 'picoftheday', 'bhfyp', 'tasty', 'lunch', 'healthy', 'cooking']",58,0.042253521126761,2.45070422535211
