username,like_linda,like_karl_peter,like_sandy,like_kevin,like_martin,like_claudia,used_hashtags
mr.renderer,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#noctua', '#chromaxblack', '#pccooling', '#nhd15', '#cpucooler', '#cpu', '#pccomponents', '#productdesign', '#produktvideo', '#productcommercial', '#commercial', '#productshots', '#advertising', '#cgi', '#vfx', '#motiondesign', '#3dmotiondesign', '#3danimation', '#3drendering', '#cgistudio', '#cgstudio', '#productioncompany', '#creativestudio', '#c4d', '#xparticles', '#redshift3d', '#werbung', '#werbeagentur', '#graz', '#austria', '#colorgrading', '#musicvideo', '#croword', '#avbaby', '#filmstudio', '#kessler', '#kesslercrane', '#dji', '#ronin', '#followfocus', '#filmcrew', '#ligt', '#parlight', '#filmmaking', '#videography', '#metal', '#melodicmetal', '#metalvideo', '#bts', '#iphone', '#shotoniphone', '#lightroom', '#lightroomcc', '#lightroomccmobile', '#greatstuff', '#setup', '#workspace', '#desksetup', '#visualeffects', '#vfxartist', '#postproduction', '#office', '#productionoffice', '#vfxstudio', '#minimalsetups', '#designyourworkspace', '#workstation', '#palettegear', '#logitech', '#logitechmxmaster', '#dell', '#gtx1080ti', '#cinema4d', '#redshift', '#trvp', '#execproducer', '#commercialproducer', '#vfxsupervisor', '#preproduction', '#officedesign', '#studiodesign', '#meetingarea', '#modernoffice', '#onlinemeetings', '#ipadpro', '#appleipadpro', '#magickeyboard', '#bose700', '#therenderers', '#productive', '#studio', '#computersetup', '#postproductionstudio', '#cgartist', '#3monitors', '#monitorsetup', '#greenscreen', '#rendering', '#onset', '#AVbaby', '#cleansetup', '#threemonitorsetup', '#motiondesigner', '#creative', '#maxon', '#cinedesigner', '#razer', '#audiotechnica', '#ikea', '#incredible', '#pcsetup', '#monogramcc', '#monogramcreativeconsole', '#timeular', '#cheersrost', '#benq', '#benqsw270c', '#shoot', '#cinematograpgy', '#videoproduction', '#dp', '#mountains', '#alps', '#a7s', '#xeen', '#cine', '#cineprimes', '#filmrig', '#manfrotto', '#atomos', '#atomosshogun', '#inspire', '#spotsnapr', '#inspiration', '#visualeffectsstudio', '#coffee', '#macchiato', '#rocketespresso', '#espressomachine', '#portafilter']"
kilian.mittendorfer,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,[]
caryf90,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,[]
lora.ulz,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#frisbee', '#ultimate', '#bibione']"
zita_martus,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#achtsamkeit', '#meditation', '#bewusstsein', '#lebensfreude', '#wahrheitleben', '#mut', '#herzensweggehen', '#vision', '#berufung', '#motivatorin', '#ehrlichkeit', '#klarheit', '#workshops', '#vorträge', '#zitamartus', '#einfachmachen', '#netzwerk', '#herzensweg', '#wahrheit', '#herzklar', '#selbständigkeit', '#mutmacherin', '#struktur', '#coaching', '#berufungleben', '#visionsboard', '#bewusstheit', '#visionskurs', '#glaubandich', '#seminare', '#mentoringprogramm', '#selbstliebe', '#motorrad', '#selbstbewusstsein', '#visionskraft', '#mindset', '#glaubenssätze', '#dubistwertvoll', '#soundhorn', '#ziele', '#kennedeinwofür', '#zielundvisionskurs', '#selbstwertstärken', '#folgedeinemherzen', '#weisheit', '#herzenswegfolgen', '#werteleben', '#freiheit', '#dubistfrei', '#liebe', '#manifestation', '#demherzenfolgen', '#lebedeinevision', '#verbundenheit', '#sichtbarkeit', '#visionen', '#autorin', '#authentisch', '#mehrwert', '#casaananda', '#herzensfreude', '#umsetzung', '#freude', '#herzlichkeit', '#onlinekurs', '#innerefreude', '#lebensweg', '#visionfinden', '#gehedeinenherzensweg', '#lebedeinswahrheit', '#mentoring', '#eigenewahrheitleben', '#eigenekonzepteleben', '#vortragende', '#ideensammlerin', '#freiheitsweg', '#coach', '#visionmachtdichfreu', '#träumeleben', '#onlinkekurs', '#manifestieren', '#fülle', '#erfüllung', '#spirituellercoach', '#stärke', '#bewusstwerdung', '#mentorin']"
_feiertag_,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#peinlichstermoment', '#nurheute', '#dankebeljo']"
andreas_future_visions,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#Sonnenuntergang', '#Vela', '#Korcula', '#Island', '#Dreamview', '#Tesla', '#Supercharger', '#cool', '#nichtschlau', '#grazy', '#airplane_hotel', '#airplane', '#hotel', '#graz', '#uber', '#Ärzte', '#porto', '#montenegro', '#marry', '#tesla', '#autonom', '#x', '#future', '#motorcycle', '#BMW', '#Oldtimer', '#office', '#visions', '#bridge', '#personal', '#service', '#startups', '#mountain', '#tellers', '#lawif', '#kubo', '#Flugzeug', '#Topevent', '#Eröffnung', '#Cool', '#Aussergewöhnlich', '#Hotel', '#Marry', '#Icetea', '#Holiday', '#heimdisco', '#sound', '#bass', '#beats', '#DJ', '#LJ', '#karaoke🎤', '#soundsystem', '#Party', '#Club', '#sonnenuntergang', '#Sonnenaufgang', '#Sonne', '#Morgenstund', '#Himmel', '#schnappschuss', '#foto', '#wow', '#hammer', '#genial', '#traumhaft', '#traum', '#👍', '#👏', '#👌', '#😎']"
insta_kevin,41.67%,33.33%,14.29%,55.56%,0.0%,14.29%,"['#hobbybäcker', '#weekendvibes', '#gay', '#instagay', '#happy', '#gayboy', '#love', '#ootd', '#nike', '#selfiegram', '#loveislove', '#gaypride', '#oodtfashion', '#gayguy', '#gaymen', '#besttime', '#gaylife', '#gaylove', '#like', '#follow', '#selfiequeen', '#instagood', '#dogsofınstagram', '#myself', '#followforfollowback', '#gayfollow', '#mirrorselfie', '#gaystagram', '#instagram', '#nofilter', '#2021', '#brot', '#bread', '#backen', '#brotbacken', '#lecker', '#hefe', '#food', '#diy', '#austria', '#foodblogger', '#kevin', '#baking', '#styria', '#graz', '#bakery', '#instafood', '#foodies', '#frommyoven', '#foodporn', '#brotliebe', '#haindlmuehle', '#totalregional', '#sourdoughbread', '#homemade', '#selbstgemacht', '#sauerteigbrot', '#essen', '#selbstgebacken', '#mehlliebe', '#gayman', '#gayhot', '#boy', '#selfie', '#nofilterneeded', '#germ', '#backenmachtglücklich', '#backenistliebe', '#gebäck', '#backblogger', '#backenmitliebe', '#yummy', '#kochen', '#semmel', '#havefun', '#rezepte', '#igersausteia', '#instadayli', '#foodphotography', '#foodstagram', '#foodlover', '#cklich', '#kuchen', '#hobbybäckerösterreich', '#cake', '#gaylifestyle', '#torte', '#austrianblogger', '#wirbackenunsdurchösterreich', '#kuchenliebe', '#foodie', '#delicious', '#healthyfood', '#photooftheday', '#picoftheday', '#dinner', '#foodgasm', '#tasty', '#cooking', '#instadaily', '#lunch', '#bhfyp', '#restaurant', '#healthy', '#sauerteig', '#blogger', '#photoraphy', '#photo', '#lipizzaner', '#nature', '#photography', '#xiaomi', '#igersthinkers', '#visitaustria', '#horse', '#photographer', '#natur', '#naturephotography', '#focus', '#august', '#steiermark', '#insta', '#trending', '#shots', '#horselove', '#homequarantine', '#lockdown', '#me', '#smile', '#style', '#cute', '#fashion', '#beautiful', '#life', '#igers', '#goodmorning', '#followme', '#likeforlikes', '#fun', '#lgbt', '#pride', '#lgbtq', '#lesbian', '#queer', '#bisexual', '#trans', '#transgender', '#gaybrasil', '#dragqueen', '#sourdough', '#roggenbrot', '#k', '#haindlmühle', '#backblog', '#ckerei', '#backenmachtgl', '#reels', '#reelsinstagram', '#tiktok', '#explore', '#explorepage', '#viral', '#reel', '#memes', '#india', '#music', '#reelitfeelit', '#foryou', '#reelsindia', '#bollywood', '#likes', '#video', '#happysunday', '#art', '#beauty', '#foodiesofinstagram', '#foodblog', '#foodpics', '#raspberry', '#foodlovers', '#foods', '#sallystortenwelt', '#healty', '#fitness', '#healtyfood', '#l', '#fit', '#healthylifestyle', '#gym', '#diet', '#motivation', '#wachmacher', '#lifestyle', '#workout', '#healtylife', '#healtylifestyle', '#chi', '#sport', '#vegan', '#ringana', '#sofree', '#mondaymood', '#nice', '#cookies', '#oetkergram', '#pudding', '#vanille', '#happyday', '#weekend', '#droetker', '#foodphotographer', '#ViennaFood', '#grazaustria', '#desserts', '#sunshine', '#storytelling', '#following', '#lippizanerheimat', '#cheflife', '#chocolatecake', '#sugar', '#july', '#bakewithlove', '#view', '#hefeteig', '#ohnehefe']"
elisabethdrobar,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,[]
falstaff.profi,16.67%,16.67%,14.29%,33.33%,0.0%,0.0%,"['#maxstiegl', '#gutpurbach', '#innereien', '#innereienküche', '#biber', '#frosch', '#herz', '#niere', '#nosetotail', '#zerowaste', '#nachhaltigkeit', '#nachhaltigleben', '#nachhaltigkochen', '#chef', '#bestchef', '#besterkoch', '#besonderetiere', '#sustainable', '#falstaffprofi', '#fleisch', '#foodporn', '#massentierhaltung', '#falstaffprofiatwork', '#ahorn', '#ahornsirup', '#sirup', '#kanada', '#ahornsirupauskanada', '#rezept', '#recipe', '#rezeptideen', '#kreativegerichte', '#spargel', '#ente', '#bestchefs', '#shooting', '#schnittlauchblüten', '#blüten', '#flowers', '#farbenfroh', '#StreetArt', '#Hospitality', '#Graffiti', '#TapeArt', '#tapeten', '#farben', '#inspiration', '#kunstausderdose', '#dose', '#spray', '#rolantrettl', '#trettl', '#kunst', '#art', '#design', '#interieur', '#kulinarik', '#kulinarischereise', '#painting', '#malen', '#paintings', '#Falstaff', '#Lohberger', '#Velich', '#Wieninger', '#Ott', '#Reisetbauer', '#Amador', '#Metro', '#Taste', '#tastekitchen', '#genuss', '#guidemichelin', '#sternekoch', '#3sternemichelin', '#streetfood', '#food', '#tortellini', '#youngtalents', '#falstaffyoungtalents', '#challenge', '#wettbewerb', '#patisserie', '#backen', '#kochen', '#süssesbusiness', '#süssigkeiten', '#desserts', '#zuckerbäcker', '#bäcker', '#bäckerin', '#konditor', '#konditorei', '#konditorin', '#falstaffytc', '#falstaffyoungtalentscup', '#bar', '#bartenderlife', '#barkeeper', '#bartenderslife', '#competition', '#shaken', '#shaking', '#gastro', '#gastronomie', '#takeyourchance', '#youngtalentscup', '#küche', '#gastgeber', '#bewerb', '#chance', '#future', '#zukunft', '#jury', '#talente', '#talents', '#service', '#sommelier', '#sommelierlife', '#takeit', '#cooking', '#tollepreise', '#preise', '#karriere', '#karriereturbo', '#career', '#job', '#dessert', '#nachspeise', '#patissier', '#himbeeren', '#milch', '#holunder', '#gemüse', '#gemüseküche', '#vegan', '#vegetarisch', '#veggie', '#vegetarian', '#sustainability', '#nachhaltig', '#veganfood', '#foodschool', '#checkitout', '#goodtoknow', '#specialfood', '#unusualfood', '#foodie', '#essensliebhaber', '#blut', '#blutlimette', '#cocktails', '#sommercocktails', '#redcenterlime', '#11erChallenge21', '#11erChallenge', '#like', '#share', '#comment', '#bestFoodFotoChallenge21', '#challengeaccepted', '#foodlover', '#foodphotography', '#bestfood', '#11ergenusswelt', '#11errösti', '#11erröstilovers', '#11ermini', '#ytc2021', '#falstaff', '#foodphotopraphy', '#hotellerie', '#fußabdruck', '#tagdernachhaltigkeit', '#recup', '#toogoodtogo', '#apps', '#profisgegenverrschwendung', '#travel', '#seachefs', '#WorldClassMoments', '#jobsonboard', '#ReadyForRestart', '#fernweh', '#hapaglloydcruises', '#vitaminsea', '#wanderlust', '#wein', '#sommelierunion', '#vino', '#wine', '#winzer', '#weinwissen', '#grape', '#grapedudes', '#onlinewissen', '#blog', '#lernen', '#podcast', '#podcasting', '#sommeliers', '#sommelerie', '#diplomsommelier', '#notjustapearlchallenge📸', '#notjustapearlchallenge', '#foodlovers', '#yanasteudel', '#pearlupyourfood', '#ytc21', '#letsgo', '#goodluck🍀', '#ansitzromani', '#ansitz', '#tramin', '#team', '#teamspirit', '#bestemitarbeiter', '#besterjob', '#traumjob', '#besterarbeitsplatz', '#hotel', '#restaurant', '#besterarbeitgeber', '#placetobe', '#bestworkingplace', '#arbeitenwoandereurlaubmachen', '#dreamjob', '#weingut', '#weingutjordan', '#weintrinken', '#weintrauben', '#rebe', '#weinviertel', '#weinausösterreich', '#grünerveltliner', '#rotwein', '#rotweinliebe', '#magazine', '#magazin', '#issue', '#bestmagazine', '#reading', '#taste', '#foodmarket', '#juanamador', '#amador', '#michelin', '#3sterne', '#lohberger', '#lohbergerandfriends', '#lohbergerküchen', '#reisetbauer', '#gin', '#velich', '#wieninger', '#ott', '#bernhardott', '#metrocashandcarry']"
